"Metric","Symbol","Value"
"Population discrepancy","\(F_0\)","0.579"
"Root mean square error of approximation","\(\text{RMSEA}\)","0.049"
"McDonald centrality index","\(Mc\)","0.749"
"Standardized root mean square residual","\(\text{SRMR}\)","0.067"
"Comparative fit index","\(\text{CFI}\)","0.960"
"Degrees of freedom","\(df\)","245"
"Required sample size","\(N\)","106"
"Critical chi-square","\(\chi^2_{\text{crit}}\)","282.511"
"Noncentrality parameter","\(\lambda\)","60.793"
"Significance level (alpha)","\(\alpha\)","0.050"
"Type II error rate (beta)","\(\beta\)","0.1968"
"Statistical power","\(1 - \beta\)","0.8032"
