"Metric","Symbol","Value"
"Population discrepancy","\(F_0\)","0.613"
"Root mean square error of approximation","\(\text{RMSEA}\)","0.050"
"McDonald centrality index","\(Mc\)","0.736"
"Goodness-of-fit index","\(\text{GFI}\)","0.951"
"Adjusted goodness-of-fit index","\(\text{AGFI}\)","0.941"
"Degrees of freedom","\(df\)","245"
"Required sample size","\(N\)","100"
"Critical chi-square","\(\chi^2_{\text{crit}}\)","282.511"
"Noncentrality parameter","\(\lambda\)","60.638"
"Significance level (alpha)","\(\alpha\)","0.050"
"Type II error rate (beta)","\(\beta\)","0.1984"
"Statistical power","\(1 - \beta\)","0.8016"
