"Parameter","Rel Bias","Rel SE Bias","Coverage","Power (Not equal 0)"
"psycho=~Q5",-0.003,-0.043,0.947,1
"psycho=~Q6",-0.005,-0.084,0.937,1
"psycho=~Q7",-0.004,-0.066,0.94,1
"psycho=~Q11",-0.005,-0.05,0.945,1
"psycho=~Q19",-0.003,0,0.953,1
"psycho=~Q26",-0.006,-0.079,0.938,1
"physical=~Q3",-0.011,-0.063,0.947,1
"physical=~Q4",-0.006,-0.066,0.945,1
"physical=~Q10",-0.01,-0.062,0.947,1
"physical=~Q15",0.068,-0.106,0.871,1
"physical=~Q16",-0.011,-0.061,0.941,1
"physical=~Q17",-0.01,-0.09,0.931,1
"physical=~Q18",-0.011,-0.077,0.938,1
"social=~Q20",-0.004,-0.05,0.941,1
"social=~Q21",-0.003,-0.025,0.952,1
"social=~Q22",0.002,-0.048,0.943,1
"environment=~Q8",0.36,-0.09,0.52,0.997
"environment=~Q9",0.105,-0.051,0.879,0.999
"environment=~Q12",-0.012,-0.065,0.939,1
"environment=~Q13",-0.01,-0.08,0.942,1
"environment=~Q14",-0.009,-0.045,0.94,1
"environment=~Q23",-0.01,-0.075,0.939,1
"environment=~Q24",-0.006,-0.047,0.947,1
"environment=~Q25",-0.011,-0.059,0.94,1
"psycho~~physical",0.039,-0.069,0.941,0.751
"psycho~~social",-0.002,-0.069,0.935,0.727
"psycho~~environment",0.286,-0.122,0.831,0.857
"physical~~social",0.046,-0.047,0.944,0.76
"physical~~environment",0.239,-0.091,0.875,0.839
"social~~environment",0.038,-0.07,0.931,0.736
"Q3~~Q4",0.007,-0.05,0.944,0.775
"Q5~~Q5",-0.012,-0.043,0.944,0.999
"Q6~~Q6",-0.017,-0.039,0.934,1
"Q7~~Q7",-0.02,-0.071,0.929,0.993
"Q11~~Q11",-0.014,-0.073,0.926,1
"Q19~~Q19",-0.014,-0.05,0.933,1
"Q26~~Q26",-0.018,-0.038,0.933,1
"Q3~~Q3",-0.012,-0.059,0.935,1
"Q4~~Q4",-0.015,-0.04,0.944,1
"Q10~~Q10",-0.008,-0.044,0.934,1
"Q15~~Q15",0.105,-0.068,0.896,1
"Q16~~Q16",-0.011,-0.055,0.934,1
"Q17~~Q17",-0.008,-0.084,0.934,0.999
"Q18~~Q18",-0.008,-0.01,0.949,1
"Q20~~Q20",-0.004,-0.091,0.943,0.848
"Q21~~Q21",-0.015,-0.042,0.946,0.991
"Q22~~Q22",-0.018,-0.05,0.933,1
"Q8~~Q8",0.536,-0.058,0.136,1
"Q9~~Q9",0.028,-0.059,0.944,1
"Q12~~Q12",-0.001,-0.036,0.943,1
"Q13~~Q13",0.004,-0.042,0.936,1
"Q14~~Q14",-0.002,-0.085,0.937,1
"Q23~~Q23",-0.001,-0.029,0.945,1
"Q24~~Q24",-0.013,-0.055,0.937,1
"Q25~~Q25",-0.007,-0.058,0.942,1
