"parameters","popmodel","naivemodel","optmodel","h1model"
"psycho=~Q5","0.9200","0.5328","0.7113","0.9200"
"psycho=~Q6","0.8100","0.5328","0.7113","0.8100"
"psycho=~Q7","0.9400","0.5328","0.7113","0.9400"
"psycho=~Q11","0.7300","0.5328","0.7113","0.7300"
"psycho=~Q19","0.7500","0.5328","0.7113","0.7500"
"psycho=~Q26","0.6300","0.5328","0.7113","0.6300"
"physical=~Q3","0.8400","0.4758","0.6837","0.8400"
"physical=~Q4","0.8300","0.4758","0.6837","0.8300"
"physical=~Q10","0.6300","0.4758","0.6837","0.6300"
"physical=~Q15","0.7100","0.4758","0.6837","0.7100"
"physical=~Q16","0.6800","0.4758","0.6837","0.6800"
"physical=~Q17","0.8900","0.4758","0.6837","0.8900"
"physical=~Q18","0.6100","0.4758","0.6837","0.6100"
"social=~Q20","0.9400","0.6017","0.7661","0.9400"
"social=~Q21","0.8900","0.6017","0.7661","0.8900"
"social=~Q22","0.7800","0.6017","0.7661","0.7800"
"environment=~Q8","0.3700","0.4832","0.6424","0.3700"
"environment=~Q9","0.4900","0.4832","0.6424","0.4900"
"environment=~Q12","0.7900","0.4832","0.6424","0.7900"
"environment=~Q13","0.8100","0.4832","0.6424","0.8100"
"environment=~Q14","0.7700","0.4832","0.6424","0.7700"
"environment=~Q23","0.7500","0.4832","0.6424","0.7500"
"environment=~Q24","0.6400","0.4832","0.6424","0.6400"
"environment=~Q25","0.7300","0.4832","0.6424","0.7300"
"Q3~~Q4","0.0908","0.2321","0.1598","0.0908"
"psycho~~psycho","1.0000","1.0000","1.0000","1.0000"
"psycho~~physical","0.2000","0.3000","0.0800","0.2000"
"psycho~~social","0.2000","0.3000","0.0800","0.2000"
"psycho~~environment","0.2000","0.3000","0.0800","0.2000"
"physical~~physical","1.0000","1.0000","1.0000","1.0000"
"physical~~social","0.2000","0.3000","0.0800","0.2000"
"physical~~environment","0.2000","0.3000","0.0800","0.2000"
"social~~social","1.0000","1.0000","1.0000","1.0000"
"social~~environment","0.2000","0.3000","0.0800","0.2000"
"environment~~environment","1.0000","1.0000","1.0000","1.0000"
"Q5~~Q5","0.1536","0.7161","0.4941","0.1536"
"Q6~~Q6","0.3439","0.7161","0.4941","0.3439"
"Q7~~Q7","0.1164","0.7161","0.4941","0.1164"
"Q11~~Q11","0.4671","0.7161","0.4941","0.4671"
"Q19~~Q19","0.4375","0.7161","0.4941","0.4375"
"Q26~~Q26","0.6031","0.7161","0.4941","0.6031"
"Q3~~Q3","0.2944","0.7736","0.5326","0.2944"
"Q4~~Q4","0.3111","0.7736","0.5326","0.3111"
"Q10~~Q10","0.6031","0.7736","0.5326","0.6031"
"Q15~~Q15","0.4959","0.7736","0.5326","0.3701"
"Q16~~Q16","0.5376","0.7736","0.5326","0.5376"
"Q17~~Q17","0.2079","0.7736","0.5326","0.2079"
"Q18~~Q18","0.6279","0.7736","0.5326","0.6279"
"Q20~~Q20","0.1164","0.6379","0.4130","0.1164"
"Q21~~Q21","0.2079","0.6379","0.4130","0.2079"
"Q22~~Q22","0.3916","0.6379","0.4130","0.3916"
"Q8~~Q8","0.8631","0.7665","0.5873","0.4792"
"Q9~~Q9","0.7599","0.7665","0.5873","0.6746"
"Q12~~Q12","0.3759","0.7665","0.5873","0.3759"
"Q13~~Q13","0.3439","0.7665","0.5873","0.3439"
"Q14~~Q14","0.4071","0.7665","0.5873","0.4071"
"Q23~~Q23","0.4375","0.7665","0.5873","0.4375"
"Q24~~Q24","0.5904","0.7665","0.5873","0.5904"
"Q25~~Q25","0.4671","0.7665","0.5873","0.4671"
"psycho=~Q8","NA","NA","NA","0.5500"
"psycho=~Q9","NA","NA","NA","0.2100"
"environment=~Q15","NA","NA","NA","0.2400"
