"Metric","Symbol","Value"
"Population discrepancy","\(F_0\)","0.579"
"Root mean square error of approximation","\(\text{RMSEA}\)","0.049"
"McDonald centrality index","\(Mc\)","0.749"
"Goodness-of-fit index","\(\text{GFI}\)","0.954"
"Adjusted goodness-of-fit index","\(\text{AGFI}\)","0.944"
"Standardized root mean square residual","\(\text{SRMR}\)","0.067"
"Comparative fit index","\(\text{CFI}\)","0.960"
"Degrees of freedom","\(df\)","245"
"Observed sample size","\(N\)","1047"
"Critical chi-square","\(\chi^2_{\text{crit}}\)","282.511"
"Noncentrality parameter","\(\lambda\)","605.611"
"Significance level (alpha)","\(\alpha\)","0.050"
"Type II error rate (beta)","\(\beta\)","1.87e-43"
"Statistical power","\(1 - \beta\)","> 0.9999"
