"Metric","Symbol","Value"
"Population discrepancy","\(F_0\)","0.613"
"Root mean square error of approximation","\(\text{RMSEA}\)","0.050"
"McDonald centrality index","\(Mc\)","0.736"
"Goodness-of-fit index","\(\text{GFI}\)","0.951"
"Adjusted goodness-of-fit index","\(\text{AGFI}\)","0.941"
"Degrees of freedom","\(df\)","245"
"Observed sample size","\(N\)","1047"
"Critical chi-square","\(\chi^2_{\text{crit}}\)","282.511"
"Noncentrality parameter","\(\lambda\)","640.675"
"Significance level (alpha)","\(\alpha\)","0.050"
"Type II error rate (beta)","\(\beta\)","3.07e-47"
"Statistical power","\(1 - \beta\)","> 0.9999"
